unit,vehicle,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
NR,BIKE,UK	100 	103 	105 	100 	116 	113 	120 	109 	111 	104 	117 	138 	147 	152 	136 	116 	133 	140 	131 	173 
NR,BUS,AT	2 	0 	1 	0 	1 	0 	2 	0 	8 	2 	2 	4 	8 	2 	9 	0 	5 	14 	13 	21 
NR,BUS,BE	2 	1 	0 	2 	1 	0 	9 	2 	0 	1 	2 	4 	0 	0 	5 	1 	9 	9 	8 	4 
NR,BUS,BG	28 	14 	5 	3 	4 	1 	2 	11 	3 	5 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS,CH	: 	0 	1 	0 	0 	0 	31 	2 	2 	0 	3 	0 	0 	13 	0 	1 	0 	1 	: 	: 
NR,BUS,CY	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	: 	: 	: 	: 	: 	: 
NR,BUS,CZ	3 	4 	0 	1 	3 	2 	2 	4 	1 	3 	0 	2 	10 	0 	17 	29 	6 	7 	2 	15 
NR,BUS,DE	7 	4 	3 	4 	5 	9 	2 	10 	32 	11 	10 	24 	12 	9 	16 	17 	12 	11 	9 	: 
NR,BUS,DK	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	3 	3 	3 	1 	10 	4 	2 	4 	1 
NR,BUS,EE	1 	0 	1 	1 	8 	2 	2 	1 	4 	2 	0 	0 	1 	1 	: 	: 	: 	: 	: 	: 
NR,BUS,EL	0 	0 	0 	3 	2 	2 	8 	4 	2 	0 	4 	0 	4 	8 	8 	38 	9 	4 	9 	13 
NR,BUS,ES	12 	3 	21 	2 	26 	11 	3 	3 	3 	18 	26 	13 	33 	22 	3 	23 	12 	47 	42 	38 
NR,BUS,FI	: 	: 	: 	: 	: 	: 	: 	2 	0 	1 	0 	0 	2 	2 	24 	0 	3 	3 	0 	5 
NR,BUS,FR	0 	2 	8 	1 	9 	7 	7 	0 	4 	5 	20 	35 	8 	15 	20 	16 	10 	13 	19 	8 
NR,BUS,HR	: 	1 	: 	1 	0 	1 	8 	0 	0 	0 	17 	6 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS,HU	3 	3 	10 	1 	1 	6 	3 	30 	12 	3 	3 	14 	14 	4 	6 	38 	: 	: 	: 	: 
NR,BUS,IE	: 	: 	0 	0 	0 	0 	1 	0 	1 	1 	0 	1 	3 	5 	0 	0 	1 	0 	0 	1 
NR,BUS,IT	4 	1 	0 	3 	1 	1 	0 	2 	7 	2 	11 	18 	24 	12 	25 	23 	18 	19 	17 	20 
NR,BUS,LT	: 	: 	: 	1 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,BUS,LV	1 	0 	0 	0 	0 	: 	: 	1 	3 	1 	1 	3 	1 	2 	10 	: 	: 	: 	: 	: 
NR,BUS,MT	0 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
NR,BUS,NL	0 	0 	0 	1 	1 	0 	1 	0 	1 	0 	3 	1 	1 	0 	0 	0 	1 	1 	0 	0 
NR,BUS,NO	: 	2 	1 	1 	3 	3 	0 	0 	1 	1 	0 	3 	0 	0 	0 	1 	2 	3 	: 	: 
NR,BUS,PL	: 	3 	8 	14 	12 	18 	18 	12 	14 	19 	11 	17 	15 	52 	43 	51 	43 	59 	50 	: 
NR,BUS,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	1 	15 	1 	2 	3 	2 	7 	27 	4 	9 
NR,BUS,RO	11 	7 	23 	18 	9 	8 	10 	9 	10 	36 	6 	26 	19 	42 	26 	33 	52 	15 	22 	19 
NR,BUS,SE	0 	4 	1 	0 	2 	1 	2 	2 	2 	0 	1 	6 	10 	1 	4 	10 	5 	6 	0 	1 
NR,BUS,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	1 	0 	0 	0 	1 	1 	0 	0 	0 	0 	: 
NR,BUS,SK	: 	: 	: 	: 	: 	: 	: 	: 	0 	12 	4 	8 	4 	8 	3 	16 	0 	1 	: 	: 
NR,BUS,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	16 	14 	14 	28 	21 	28 	29 	26 	42 	29 	26 
NR,BUS_MIN,BE	0 	0 	0 	1 	2 	0 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_MIN,BG	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_MIN,ES	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_MIN,IS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
NR,BUS_MIN,LT	: 	: 	: 	0 	0 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_MIN,LU	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_MIN,LV	0 	0 	0 	2 	0 	0 	0 	1 	1 	0 	0 	: 	: 	2 	0 	: 	: 	: 	: 	: 
NR,BUS_MIN,MT	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_MIN,NO	: 	0 	0 	0 	0 	0 	0 	3 	2 	0 	1 	1 	0 	1 	1 	1 	0 	0 	: 	: 
NR,BUS_MIN,UK	8 	8 	4 	2 	4 	2 	1 	5 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TOT,BE	0 	0 	0 	1 	1 	5 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TOT,CH	3 	0 	0 	0 	0 	0 	1 	0 	2 	0 	1 	0 	2 	0 	0 	3 	1 	5 	: 	: 
NR,BUS_TOT,DK	0 	0 	3 	0 	0 	0 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TOT,FI	5 	2 	0 	0 	0 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TOT,HR	0 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TOT,IS	1 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	: 	: 	: 
NR,BUS_TOT,IT	1 	17 	3 	3 	4 	47 	7 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TOT,LV	: 	: 	0 	0 	1 	1 	3 	0 	0 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TOT,PT	: 	1 	0 	8 	2 	11 	2 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TOT,SI	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TOT,UK	8 	7 	9 	5 	7 	10 	11 	7 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TRO,BG	0 	1 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TRO,CH	: 	1 	0 	1 	2 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
NR,BUS_TRO,DE	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TRO,EE	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TRO,HU	0 	1 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BUS_TRO,LV	0 	0 	0 	0 	0 	0 	0 	0 	1 	: 	0 	: 	: 	1 	1 	: 	: 	: 	: 	: 
NR,BUS_TRO,NO	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
NR,CAR,AT	181 	182 	191 	241 	191 	194 	282 	289 	291 	325 	367 	378 	384 	432 	480 	524 	524 	570 	549 	615 
NR,CAR,BE	275 	285 	343 	375 	392 	367 	383 	457 	450 	464 	479 	550 	589 	624 	623 	688 	779 	899 	922 	851 
NR,CAR,BG	341 	369 	456 	396 	379 	367 	335 	398 	478 	570 	623 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CAR,CH	79 	78 	75 	75 	97 	103 	104 	119 	129 	136 	156 	162 	156 	178 	232 	260 	274 	245 	: 	: 
NR,CAR,CY	15 	14 	10 	24 	15 	16 	18 	31 	19 	24 	26 	37 	32 	45 	: 	: 	: 	: 	: 	: 
NR,CAR,CZ	333 	279 	328 	365 	347 	308 	368 	404 	403 	497 	573 	661 	567 	679 	779 	798 	759 	715 	784 	775 
NR,CAR,DE	1424 	1437 	1537 	1624 	1579 	1588 	1791 	1986 	1840 	2110 	2368 	2625 	2683 	2833 	3238 	3774 	4005 	4023 	4396 	: 
NR,CAR,DK	65 	99 	96 	74 	89 	79 	81 	106 	135 	164 	196 	168 	138 	169 	186 	236 	246 	242 	235 	271 
NR,CAR,EE	21 	27 	33 	35 	33 	41 	42 	56 	44 	54 	69 	122 	106 	88 	: 	: 	: 	: 	: 	: 
NR,CAR,EL	267 	285 	340 	314 	289 	347 	383 	474 	545 	680 	708 	771 	722 	816 	775 	761 	793 	803 	922 	886 
NR,CAR,ES	732 	799 	754 	693 	719 	712 	868 	973 	1187 	1258 	1493 	1817 	2095 	2390 	2691 	3212 	3102 	3140 	3285 	3186 
NR,CAR,FI	146 	133 	150 	159 	121 	152 	147 	172 	159 	165 	202 	241 	203 	231 	221 	217 	267 	262 	224 	251 
NR,CAR,FR	1637 	1767 	1760 	1796 	1664 	1615 	1881 	2062 	2117 	2162 	2205 	2466 	2627 	3065 	3365 	3685 	4862 	5284 	5291 	5454 
NR,CAR,HR	154 	187 	148 	164 	141 	195 	186 	215 	205 	284 	303 	309 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CAR,HU	291 	277 	269 	304 	256 	254 	253 	268 	330 	386 	448 	555 	630 	620 	606 	640 	: 	: 	: 	: 
NR,CAR,IE	: 	: 	106 	89 	103 	107 	89 	95 	129 	146 	160 	171 	226 	222 	205 	174 	202 	231 	262 	236 
NR,CAR,IS	12 	9 	13 	12 	3 	11 	6 	7 	4 	9 	10 	11 	20 	15 	15 	17 	26 	: 	: 	: 
NR,CAR,IT	1423 	1472 	1477 	1476 	1497 	1491 	1695 	1673 	1832 	1793 	2115 	2320 	2781 	2830 	3032 	3377 	3653 	3847 	3850 	3796 
NR,CAR,LT	: 	: 	: 	115 	118 	108 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CAR,LU	19 	13 	19 	16 	24 	30 	22 	21 	27 	26 	20 	27 	23 	38 	27 	33 	52 	51 	54 	49 
NR,CAR,LV	70 	59 	71 	85 	91 	71 	72 	78 	91 	116 	167 	203 	182 	201 	228 	: 	: 	: 	: 	: 
NR,CAR,MT	5 	9 	5 	4 	: 	: 	: 	: 	9 	12 	4 	4 	5 	3 	: 	: 	: 	: 	: 	: 
NR,CAR,NL	245 	194 	225 	214 	171 	180 	218 	209 	219 	288 	299 	299 	323 	337 	398 	483 	479 	477 	513 	540 
NR,CAR,NO	: 	57 	67 	67 	72 	105 	73 	102 	127 	127 	151 	138 	141 	130 	157 	170 	189 	167 	: 	: 
NR,CAR,PL	: 	1295 	1417 	1332 	1346 	1448 	1615 	1897 	1853 	2179 	2540 	2582 	2392 	2526 	2459 	2541 	2548 	2438 	2710 	: 
NR,CAR,PT	: 	204 	225 	214 	223 	214 	255 	331 	367 	298 	355 	415 	370 	493 	536 	627 	706 	638 	730 	816 
NR,CAR,RO	737 	812 	785 	787 	724 	721 	798 	780 	973 	1168 	1324 	1096 	992 	1069 	1012 	856 	874 	933 	903 	914 
NR,CAR,SE	181 	131 	138 	144 	122 	144 	142 	159 	151 	219 	234 	279 	261 	273 	288 	349 	379 	373 	393 	372 
NR,CAR,SI	32 	30 	45 	38 	41 	40 	53 	46 	44 	59 	82 	126 	96 	107 	124 	102 	124 	107 	126 	: 
